Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Unfurnished,East,1.0,2.0,4200000.0,1.0,500.0,10.0,11.0
Semi-Furnished,East,2.0,2.0,9800000.0,2.0,473.0,3.0,22.0
Unfurnished,East,2.0,2.0,14000000.0,2.0,779.0,10.0,29.0
Unfurnished,East,1.0,1.0,2500000.0,1.0,530.0,1.0,3.0
Unfurnished,West,2.0,2.0,16000000.0,2.0,635.0,20.0,42.0
Unfurnished,East,1.0,1.0,4500000.0,1.0,,2.0,7.0
Unfurnished,East,1.0,2.0,1650000.0,1.0,550.0,4.0,5.0
Furnished,East,1.0,2.0,6000000.0,1.0,,0.0,7.0
Furnished,East,1.0,2.0,6000000.0,1.0,,0.0,2.0
Unfurnished,East,3.0,1.0,16000000.0,3.0,900.0,3.0,27.0
Semi-Furnished,East,2.0,2.0,14000000.0,3.0,950.0,6.0,20.0
Semi-Furnished,East,2.0,2.0,13600000.000000002,2.0,,16.0,24.0
Semi-Furnished,East,2.0,2.0,13500000.0,2.0,,8.0,20.0
Semi-Furnished,East,4.0,1.0,42500000.0,4.0,1820.0,18.0,27.0
Furnished,East,1.0,2.0,7500000.0,1.0,,2.0,3.0
Unfurnished,North - East,2.0,1.0,9000000.0,2.0,675.0,10.0,16.0
Unfurnished,East,1.0,2.0,3700000.0,1.0,647.0,5.0,7.0
Unfurnished,East,1.0,2.0,3500000.0,1.0,,4.0,5.0
Unfurnished,North - East,2.0,2.0,9000000.0,2.0,600.0,20.0,28.0
Semi-Furnished,East,1.0,1.0,3500000.0,1.0,,3.0,3.0
Semi-Furnished,East,1.0,2.0,5400000.0,1.0,430.0,3.0,7.0
Unfurnished,East,2.0,2.0,16500000.0,2.0,665.0,15.0,31.0
Unfurnished,North,2.0,2.0,8500000.0,2.0,557.0,2.0,28.0
Semi-Furnished,East,2.0,1.0,12800000.0,3.0,870.0,27.0,27.0
Unfurnished,East,1.0,2.0,,1.0,,6.0,7.0
Furnished,East,1.0,2.0,4200000.0,1.0,,5.0,5.0
